1.272, 4.535, 4.985, 1.436, 5.149, 6.46, 4.031, 8.746, 5.229, 5.291, 3.433, 6.049, 8.863, 3.396, 4.594, -0.2292, 1.594, 2.599, 5.267, 3.78, 3.973, 2.195, 3.157, 5.068, 7.995, 6.869, 5.913, 9.122, 4.169, 3.451, 1.498, -2.167, 454.2
1.512, 5.116, 1.666, 6.151, 3.431, 9.275, 4.731, 6.178, 3.996, 6.561, 3.962, 5.753, 6.745, 7.79, 2.144, 2.128, 5.873, 4.436, 7.286, 5.098, 4.818, 4.593, 4.568, 3.988, 5.522, 7.216, 9.422, 4.493, 4.874, 4.352, 3.713, 0.9246, 4491
6.816, 7.851, 6.03, 13.08, 6.807, 15.58, 8.862, 7.193, 12.44, 11.66, 9.746, 10.93, 15.13, 11.9, 8.743, 6.069, 12.41, 13.18, 11.91, 14.48, 10.04, 9.593, 10.48, 10.97, 13.55, 10.7, 15.44, 7.364, 11.62, 9.991, 13.13, 9.332, 8052
11.39, 14.06, 17.88, 11.29, 11.48, 12.58, 12.63, 9.388, 10.76, 12.44, 11.96, 13.35, 12.71, 12.12, 9.545, 11.04, 15.03, 10.28, 12.07, 9.976, 9.155, 9.243, 10.67, 21.71, 11.75, 12.06, 14.99, 15.78, 7.78, 7.548, 11.66, 9.841, 99.6
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 
