7,7.41,6,6,6.286,6,6.676,6,6.254,7.437,6,6,6.076,6,6.324,6,11.74,8.544,6.902,6,7.081,6,6,6,8.038,6.615,6,6,6,6,6,6
1.112,1.157,1,1,1.032,1,1.075,1,1.028,1.16,1,1,1.008,1,1.036,1,1.638,1.285,1.101,1,1.12,1,1,1,1.227,1.068,1,1,1,1,1,1
1.285,1.687,3,3,1.852,3,1.632,3,1.912,1.043,3,3,2.547,2.931,2.347,3,1.654,1,1,1.263,1.537,2.608,2.099,3,1.047,1.413,1.612,3,1.322,3,2.279,2.078
3.765,5.576,3.875,3.222,3.875,3.696,3.836,3.429,3.852,8.072,3.88,3.388,3.904,4.786,3.936,3.489,10.6,11.55,5.443,3.502,3.209,3.841,1.894,1.732,8.575,5.293,1.926,1.688,4.588,2.341,1.854,2.525
0.05752,0.08652,0.05225,0.08145,0.05261,0.08256,0.06003,0.08553,0.05628,0.1207,0.05921,0.05961,0.06033,0.08343,0.06915,0.0885,0.2801,0.0853,0.04734,0.06175,0.06328,0.07339,0.04824,0.06677,0.08452,0.05562,0.04688,0.04238,0.0585,0.04564,0.06575,0.03996
-1.164,-1.114,-1.298,-1.922,-1.117,-1.551,-0.9897,-2.347,-1.096,-1.624,-1.073,-1.307,-1.227,-1.152,-1.321,-1.922,-4.13,-0.5021,-1.034,-1.164,-1.149,-1.341,-0.9006,-1.591,-0.8133,-0.7753,-0.9973,-0.8768,-0.9091,-0.9353,-1.725,-0.7355
11.87,10.96,11.91,16.63,11.38,14.11,8.936,20.04,10.68,16.34,9.36,12.25,11.13,10.95,11.29,15.44,35.73,10.24,8.537,11.71,10.74,12.91,7.361,13.22,11.74,9.582,8.736,8.322,10.33,9.453,14.74,7.152
