14.81,10.76,11.11,10.24,9.882,13.27,14.04,11.88,11.14,9.978,8.503,7.335,13.07,10.8,8.284,9.906
2.034,1.528,1.567,1.471,1.431,1.76,1.772,1.646,1.566,1.441,1.278,1.15,1.725,1.532,1.253,1.435
1,1.162,1.299,1.383,1.712,1,1,1,1,1,1.571,1.679,1,1.236,1.93,1.401
9.9,8.442,8.701,7.929,6.383,8.592,9.9,6.789,9.458,4.165,6.391,4.038,8.883,4.627,6.66,5.198
0.2021,0.1211,0.136,0.1066,0.1421,0.1038,0.1162,0.1157,0.1237,0.117,0.1086,0.09005,0.1154,0.1052,0.1185,0.09778
-3.031,-1.499,-2.063,-1.671,-2.495,-1.147,-1.574,-1.805,-1.84,-1.941,-1.427,-1.556,-1.459,-1.805,-2.061,-1.344
28.54,14.2,16.86,15.31,18.7,11.45,15.76,14.95,16.69,14.56,11.95,12.54,15.09,14.13,16.69,11.28
