16.38,16,14.86,14.86,14.68,14.88,14.84,14.62,14.68,15.02,14.63,13.51,14.16,14.78,15.93,12.2
2.47,2.381,2.056,2.051,1.988,1.975,2.039,1.916,1.931,2.007,1.99,1.766,1.782,1.943,2.331,1.689
1,1,1.029,1,1,1,1.029,1,1,1,1,1.195,1.221,1,1,1.42
9.9,9.9,9.9,8.539,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,7.286
0.1064,0.1029,0.1087,0.08166,0.109,0.07403,0.09059,0.07229,0.1004,0.09535,0.1063,0.09215,0.09234,0.06697,0.09023,0.06971
-0.4179,-0.6644,-0.7581,-0.3019,-0.7763,-0.04021,-0.5149,-0.2572,-0.4189,-0.4722,-0.7529,-0.5169,-0.5006,-0.105,-0.3559,-0.2236
18.98,15.95,15.13,9.618,14.36,8.445,12.49,8.394,15.24,9.73,14.55,11.33,12.02,7.503,12.76,6.453
